text,audio
"jazz Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds",musicgen_outputs/118113_jazz_seed72.wav
"pop Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds",musicgen_outputs/118113_pop_seed72.wav
"classical Thunder,Rain,Water,Thunderstorm",musicgen_outputs/118995_classical_seed72.wav
"jazz Thunder,Rain,Water,Thunderstorm",musicgen_outputs/118995_jazz_seed72.wav
"pop Thunder,Rain,Water,Thunderstorm",musicgen_outputs/118995_pop_seed72.wav
"classical Drip,Pour,Liquid",musicgen_outputs/119113_classical_seed72.wav
"jazz Drip,Pour,Liquid",musicgen_outputs/119113_jazz_seed72.wav
"pop Drip,Pour,Liquid",musicgen_outputs/119113_pop_seed72.wav
"classical Crushing",musicgen_outputs/119462_classical_seed72.wav
"jazz Crushing",musicgen_outputs/119462_jazz_seed72.wav
"pop Crushing",musicgen_outputs/119462_pop_seed72.wav
"classical Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/119482_classical_seed72.wav
"jazz Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/119482_jazz_seed72.wav
"pop Screech,Sliding_door,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/119482_pop_seed72.wav
"classical Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/119558_classical_seed72.wav
"jazz Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/119558_jazz_seed72.wav
"pop Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/119558_pop_seed72.wav
"classical Crackle",musicgen_outputs/119779_classical_seed72.wav
"jazz Crackle",musicgen_outputs/119779_jazz_seed72.wav
"pop Crackle",musicgen_outputs/119779_pop_seed72.wav
"classical Chink_and_clink,Glass",musicgen_outputs/119844_classical_seed72.wav
"jazz Chink_and_clink,Glass",musicgen_outputs/119844_jazz_seed72.wav
"pop Chink_and_clink,Glass",musicgen_outputs/119844_pop_seed72.wav
"classical Doorbell,Door,Domestic_sounds_and_home_sounds,Alarm",musicgen_outputs/119958_classical_seed72.wav
"jazz Doorbell,Door,Domestic_sounds_and_home_sounds,Alarm",musicgen_outputs/119958_jazz_seed72.wav
"pop Doorbell,Door,Domestic_sounds_and_home_sounds,Alarm",musicgen_outputs/119958_pop_seed72.wav
"classical Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/120019_classical_seed72.wav
"jazz Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/120019_jazz_seed72.wav
"pop Coin_(dropping),Domestic_sounds_and_home_sounds",musicgen_outputs/120019_pop_seed72.wav
"classical Tap,Drip,Fill_(with_liquid),Water_tap_and_faucet,Gurgling,Liquid,Domestic_sounds_and_home_sounds,Water",musicgen_outputs/120027_classical_seed72.wav
"jazz Tap,Drip,Fill_(with_liquid),Water_tap_and_faucet,Gurgling,Liquid,Domestic_sounds_and_home_sounds,Water",musicgen_outputs/120027_jazz_seed72.wav
"pop Tap,Drip,Fill_(with_liquid),Water_tap_and_faucet,Gurgling,Liquid,Domestic_sounds_and_home_sounds,Water",musicgen_outputs/120027_pop_seed72.wav
"classical Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/120116_classical_seed72.wav
"jazz Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/120116_jazz_seed72.wav
"pop Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/120116_pop_seed72.wav
"classical Drip,Water_tap_and_faucet,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/121546_classical_seed72.wav
"jazz Drip,Water_tap_and_faucet,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/121546_jazz_seed72.wav
"pop Drip,Water_tap_and_faucet,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/121546_pop_seed72.wav
"classical Rain,Water",musicgen_outputs/122795_classical_seed72.wav
"jazz Rain,Water",musicgen_outputs/122795_jazz_seed72.wav
"pop Rain,Water",musicgen_outputs/122795_pop_seed72.wav
"classical Water,Engine,Splash_and_splatter,Liquid",musicgen_outputs/122823_classical_seed72.wav
"jazz Water,Engine,Splash_and_splatter,Liquid",musicgen_outputs/122823_jazz_seed72.wav
"pop Water,Engine,Splash_and_splatter,Liquid",musicgen_outputs/122823_pop_seed72.wav
"classical Sawing,Tools",musicgen_outputs/124533_classical_seed72.wav
"jazz Sawing,Tools",musicgen_outputs/124533_jazz_seed72.wav
"pop Sawing,Tools",musicgen_outputs/124533_pop_seed72.wav
"classical Chirp_and_tweet,Bird,Wild_animals,Animal,Bird_vocalization_and_bird_call_and_bird_song",musicgen_outputs/125940_classical_seed72.wav
"jazz Chirp_and_tweet,Bird,Wild_animals,Animal,Bird_vocalization_and_bird_call_and_bird_song",musicgen_outputs/125940_jazz_seed72.wav
"pop Chirp_and_tweet,Bird,Wild_animals,Animal,Bird_vocalization_and_bird_call_and_bird_song",musicgen_outputs/125940_pop_seed72.wav
"classical Chatter,Alarm,Human_group_actions",musicgen_outputs/127857_classical_seed72.wav
"jazz Chatter,Alarm,Human_group_actions",musicgen_outputs/127857_jazz_seed72.wav
"pop Chatter,Alarm,Human_group_actions",musicgen_outputs/127857_pop_seed72.wav
"classical Tools",musicgen_outputs/131918_classical_seed72.wav
"jazz Tools",musicgen_outputs/131918_jazz_seed72.wav
"pop Tools",musicgen_outputs/131918_pop_seed72.wav
"classical Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/133869_classical_seed72.wav
"jazz Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/133869_jazz_seed72.wav
"pop Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/133869_pop_seed72.wav
"classical Crumpling_and_crinkling",musicgen_outputs/134843_classical_seed72.wav
"jazz Crumpling_and_crinkling",musicgen_outputs/134843_jazz_seed72.wav
"pop Crumpling_and_crinkling",musicgen_outputs/134843_pop_seed72.wav
"classical Rain,Water",musicgen_outputs/134909_classical_seed72.wav
"jazz Rain,Water",musicgen_outputs/134909_jazz_seed72.wav
"pop Rain,Water",musicgen_outputs/134909_pop_seed72.wav
"classical Hiss,Wind,Domestic_sounds_and_home_sounds",musicgen_outputs/135429_classical_seed72.wav
"jazz Hiss,Wind,Domestic_sounds_and_home_sounds",musicgen_outputs/135429_jazz_seed72.wav
"pop Hiss,Wind,Domestic_sounds_and_home_sounds",musicgen_outputs/135429_pop_seed72.wav
"classical Drill,Power_tool,Tools",musicgen_outputs/135847_classical_seed72.wav
"jazz Drill,Power_tool,Tools",musicgen_outputs/135847_jazz_seed72.wav
"pop Drill,Power_tool,Tools",musicgen_outputs/135847_pop_seed72.wav
"classical Ratchet_and_pawl,Tools,Mechanisms",musicgen_outputs/135853_classical_seed72.wav
"jazz Ratchet_and_pawl,Tools,Mechanisms",musicgen_outputs/135853_jazz_seed72.wav
"pop Ratchet_and_pawl,Tools,Mechanisms",musicgen_outputs/135853_pop_seed72.wav
"classical Microwave_oven,Alarm,Domestic_sounds_and_home_sounds",musicgen_outputs/137134_classical_seed72.wav
"jazz Microwave_oven,Alarm,Domestic_sounds_and_home_sounds",musicgen_outputs/137134_jazz_seed72.wav
"pop Microwave_oven,Alarm,Domestic_sounds_and_home_sounds",musicgen_outputs/137134_pop_seed72.wav
"classical Walk_and_footsteps,Crack",musicgen_outputs/137746_classical_seed72.wav
"jazz Walk_and_footsteps,Crack",musicgen_outputs/137746_jazz_seed72.wav
"pop Walk_and_footsteps,Crack",musicgen_outputs/137746_pop_seed72.wav
"classical Stream,Splash_and_splatter,Thump_and_thud,Water,Liquid",musicgen_outputs/137749_classical_seed72.wav
"jazz Stream,Splash_and_splatter,Thump_and_thud,Water,Liquid",musicgen_outputs/137749_jazz_seed72.wav
"pop Stream,Splash_and_splatter,Thump_and_thud,Water,Liquid",musicgen_outputs/137749_pop_seed72.wav
"classical Typewriter,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/138049_classical_seed72.wav
"jazz Typewriter,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/138049_jazz_seed72.wav
"pop Typewriter,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/138049_pop_seed72.wav
"classical Ratchet_and_pawl,Mechanisms",musicgen_outputs/139001_classical_seed72.wav
"jazz Ratchet_and_pawl,Mechanisms",musicgen_outputs/139001_jazz_seed72.wav
"pop Ratchet_and_pawl,Mechanisms",musicgen_outputs/139001_pop_seed72.wav
"classical Shatter,Crushing,Glass",musicgen_outputs/141515_classical_seed72.wav
"jazz Shatter,Crushing,Glass",musicgen_outputs/141515_jazz_seed72.wav
"pop Shatter,Crushing,Glass",musicgen_outputs/141515_pop_seed72.wav
"classical Tick,Clock,Mechanisms",musicgen_outputs/142593_classical_seed72.wav
"jazz Tick,Clock,Mechanisms",musicgen_outputs/142593_jazz_seed72.wav
"pop Tick,Clock,Mechanisms",musicgen_outputs/142593_pop_seed72.wav
"classical Shatter,Chink_and_clink,Glass",musicgen_outputs/144115_classical_seed72.wav
"jazz Shatter,Chink_and_clink,Glass",musicgen_outputs/144115_jazz_seed72.wav
"pop Shatter,Chink_and_clink,Glass",musicgen_outputs/144115_pop_seed72.wav
"classical Sink_(filling_or_washing),Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/144198_classical_seed72.wav
"jazz Sink_(filling_or_washing),Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/144198_jazz_seed72.wav
"pop Sink_(filling_or_washing),Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/144198_pop_seed72.wav
"classical Ringtone,Telephone,Alarm",musicgen_outputs/14575_classical_seed72.wav
"jazz Ringtone,Telephone,Alarm",musicgen_outputs/14575_jazz_seed72.wav
"pop Ringtone,Telephone,Alarm",musicgen_outputs/14575_pop_seed72.wav
"classical Water,Splash_and_splatter,Liquid",musicgen_outputs/146947_classical_seed72.wav
"jazz Water,Splash_and_splatter,Liquid",musicgen_outputs/146947_jazz_seed72.wav
"pop Water,Splash_and_splatter,Liquid",musicgen_outputs/146947_pop_seed72.wav
"classical Frog,Wild_animals,Animal",musicgen_outputs/147330_classical_seed72.wav
"jazz Frog,Wild_animals,Animal",musicgen_outputs/147330_jazz_seed72.wav
"pop Frog,Wild_animals,Animal",musicgen_outputs/147330_pop_seed72.wav
"classical Growling,Wild_animals,Animal",musicgen_outputs/149190_classical_seed72.wav
"jazz Growling,Wild_animals,Animal",musicgen_outputs/149190_jazz_seed72.wav
"pop Growling,Wild_animals,Animal",musicgen_outputs/149190_pop_seed72.wav
"classical Walk_and_footsteps,Sliding_door,Slam,Insect,Wild_animals,Animal,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/149256_classical_seed72.wav
"jazz Walk_and_footsteps,Sliding_door,Slam,Insect,Wild_animals,Animal,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/149256_jazz_seed72.wav
"pop Walk_and_footsteps,Sliding_door,Slam,Insect,Wild_animals,Animal,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/149256_pop_seed72.wav
"classical Splash_and_splatter,Liquid",musicgen_outputs/151280_classical_seed72.wav
"jazz Splash_and_splatter,Liquid",musicgen_outputs/151280_jazz_seed72.wav
"pop Splash_and_splatter,Liquid",musicgen_outputs/151280_pop_seed72.wav
"classical Computer_keyboard,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/153246_classical_seed72.wav
"jazz Computer_keyboard,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/153246_jazz_seed72.wav
"pop Computer_keyboard,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/153246_pop_seed72.wav
"classical Writing,Domestic_sounds_and_home_sounds",musicgen_outputs/154431_classical_seed72.wav
"jazz Writing,Domestic_sounds_and_home_sounds",musicgen_outputs/154431_jazz_seed72.wav
"pop Writing,Domestic_sounds_and_home_sounds",musicgen_outputs/154431_pop_seed72.wav
"classical Slam,Microwave_oven,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/154440_classical_seed72.wav
"jazz Slam,Microwave_oven,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/154440_jazz_seed72.wav
"pop Slam,Microwave_oven,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/154440_pop_seed72.wav
"classical Buzz,Engine,Domestic_sounds_and_home_sounds,Insect,Wild_animals,Animal",musicgen_outputs/154462_classical_seed72.wav
"jazz Buzz,Engine,Domestic_sounds_and_home_sounds,Insect,Wild_animals,Animal",musicgen_outputs/154462_jazz_seed72.wav
"pop Buzz,Engine,Domestic_sounds_and_home_sounds,Insect,Wild_animals,Animal",musicgen_outputs/154462_pop_seed72.wav
"classical Hammer,Thump_and_thud,Tools",musicgen_outputs/154465_classical_seed72.wav
"jazz Hammer,Thump_and_thud,Tools",musicgen_outputs/154465_jazz_seed72.wav
"pop Hammer,Thump_and_thud,Tools",musicgen_outputs/154465_pop_seed72.wav
"classical Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/154470_classical_seed72.wav
"jazz Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/154470_jazz_seed72.wav
"pop Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/154470_pop_seed72.wav
"classical Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/154824_classical_seed72.wav
"jazz Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/154824_jazz_seed72.wav
"pop Chirp_and_tweet,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/154824_pop_seed72.wav
"classical Chatter,Thump_and_thud,Livestock_and_farm_animals_and_working_animals,Human_group_actions,Animal",musicgen_outputs/155468_classical_seed72.wav
"jazz Chatter,Thump_and_thud,Livestock_and_farm_animals_and_working_animals,Human_group_actions,Animal",musicgen_outputs/155468_jazz_seed72.wav
"pop Chatter,Thump_and_thud,Livestock_and_farm_animals_and_working_animals,Human_group_actions,Animal",musicgen_outputs/155468_pop_seed72.wav
"classical Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/155510_classical_seed72.wav
"jazz Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/155510_jazz_seed72.wav
"pop Trickle_and_dribble,Sink_(filling_or_washing),Water_tap_and_faucet,Pour,Liquid,Domestic_sounds_and_home_sounds",musicgen_outputs/155510_pop_seed72.wav
"classical Waves_and_surf,Human_voice,Ocean,Water",musicgen_outputs/15902_classical_seed72.wav
"jazz Waves_and_surf,Human_voice,Ocean,Water",musicgen_outputs/15902_jazz_seed72.wav
"pop Waves_and_surf,Human_voice,Ocean,Water",musicgen_outputs/15902_pop_seed72.wav
"classical Squeak,Walk_and_footsteps,Slam,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/160362_classical_seed72.wav
"jazz Squeak,Walk_and_footsteps,Slam,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/160362_jazz_seed72.wav
"pop Squeak,Walk_and_footsteps,Slam,Door,Domestic_sounds_and_home_sounds",musicgen_outputs/160362_pop_seed72.wav
"classical Coin_(dropping),Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/161543_classical_seed72.wav
"jazz Coin_(dropping),Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/161543_jazz_seed72.wav
"pop Coin_(dropping),Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/161543_pop_seed72.wav
"classical Mechanisms",musicgen_outputs/162804_classical_seed72.wav
"jazz Mechanisms",musicgen_outputs/162804_jazz_seed72.wav
"pop Mechanisms",musicgen_outputs/162804_pop_seed72.wav
"classical Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/163286_classical_seed72.wav
"jazz Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/163286_jazz_seed72.wav
"pop Meow,Cat,Domestic_animals_and_pets,Animal",musicgen_outputs/163286_pop_seed72.wav
"classical Ratchet_and_pawl,Mechanisms",musicgen_outputs/163411_classical_seed72.wav
"jazz Ratchet_and_pawl,Mechanisms",musicgen_outputs/163411_jazz_seed72.wav
"pop Ratchet_and_pawl,Mechanisms",musicgen_outputs/163411_pop_seed72.wav
"classical Mechanisms",musicgen_outputs/163420_classical_seed72.wav
"jazz Mechanisms",musicgen_outputs/163420_jazz_seed72.wav
"pop Mechanisms",musicgen_outputs/163420_pop_seed72.wav
"classical Telephone,Alarm",musicgen_outputs/164031_classical_seed72.wav
"jazz Telephone,Alarm",musicgen_outputs/164031_jazz_seed72.wav
"pop Telephone,Alarm",musicgen_outputs/164031_pop_seed72.wav
"classical Drawer_open_or_close,Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/165110_classical_seed72.wav
"jazz Drawer_open_or_close,Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/165110_jazz_seed72.wav
"pop Drawer_open_or_close,Wood,Domestic_sounds_and_home_sounds",musicgen_outputs/165110_pop_seed72.wav
"classical Camera,Mechanisms",musicgen_outputs/166747_classical_seed72.wav
"jazz Camera,Mechanisms",musicgen_outputs/166747_jazz_seed72.wav
"pop Camera,Mechanisms",musicgen_outputs/166747_pop_seed72.wav
"classical Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/167508_classical_seed72.wav
"jazz Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/167508_jazz_seed72.wav
"pop Cutlery_and_silverware,Domestic_sounds_and_home_sounds",musicgen_outputs/167508_pop_seed72.wav
"classical Thunder,Chirp_and_tweet,Wind,Rain,Water,Thunderstorm,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/16783_classical_seed72.wav
"jazz Thunder,Chirp_and_tweet,Wind,Rain,Water,Thunderstorm,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/16783_jazz_seed72.wav
"pop Thunder,Chirp_and_tweet,Wind,Rain,Water,Thunderstorm,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal",musicgen_outputs/16783_pop_seed72.wav
"classical Alarm",musicgen_outputs/168825_classical_seed72.wav
"jazz Alarm",musicgen_outputs/168825_jazz_seed72.wav
"pop Alarm",musicgen_outputs/168825_pop_seed72.wav
"classical Printer,Mechanisms",musicgen_outputs/16942_classical_seed72.wav
"jazz Printer,Mechanisms",musicgen_outputs/16942_jazz_seed72.wav
"pop Printer,Mechanisms",musicgen_outputs/16942_pop_seed72.wav
"classical Cutlery_and_silverware,Human_group_actions,Domestic_sounds_and_home_sounds",musicgen_outputs/170726_classical_seed72.wav
"jazz Cutlery_and_silverware,Human_group_actions,Domestic_sounds_and_home_sounds",musicgen_outputs/170726_jazz_seed72.wav
"pop Cutlery_and_silverware,Human_group_actions,Domestic_sounds_and_home_sounds",musicgen_outputs/170726_pop_seed72.wav
"classical Computer_keyboard,Human_voice,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/172743_classical_seed72.wav
"jazz Computer_keyboard,Human_voice,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/172743_jazz_seed72.wav
"pop Computer_keyboard,Human_voice,Typing,Domestic_sounds_and_home_sounds",musicgen_outputs/172743_pop_seed72.wav
"classical Bark,Human_voice,Dog,Domestic_animals_and_pets,Animal",musicgen_outputs/17414_classical_seed72.wav
"jazz Bark,Human_voice,Dog,Domestic_animals_and_pets,Animal",musicgen_outputs/17414_jazz_seed72.wav
"pop Bark,Human_voice,Dog,Domestic_animals_and_pets,Animal",musicgen_outputs/17414_pop_seed72.wav
"classical Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds",musicgen_outputs/17422_classical_seed72.wav
"jazz Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds",musicgen_outputs/17422_jazz_seed72.wav
"pop Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds",musicgen_outputs/17422_pop_seed72.wav
"classical Walk_and_footsteps",musicgen_outputs/175940_classical_seed72.wav
"jazz Walk_and_footsteps",musicgen_outputs/175940_jazz_seed72.wav
"pop Walk_and_footsteps",musicgen_outputs/175940_pop_seed72.wav
"classical Stream,Gurgling,Splash_and_splatter,Water,Liquid",musicgen_outputs/17741_classical_seed72.wav
"jazz Stream,Gurgling,Splash_and_splatter,Water,Liquid",musicgen_outputs/17741_jazz_seed72.wav
"pop Stream,Gurgling,Splash_and_splatter,Water,Liquid",musicgen_outputs/17741_pop_seed72.wav
"classical Camera,Mechanisms",musicgen_outputs/177844_classical_seed72.wav
"jazz Camera,Mechanisms",musicgen_outputs/177844_jazz_seed72.wav
"pop Camera,Mechanisms",musicgen_outputs/177844_pop_seed72.wav
"classical Squeak",musicgen_outputs/178412_classical_seed72.wav
"jazz Squeak",musicgen_outputs/178412_jazz_seed72.wav
"pop Squeak",musicgen_outputs/178412_pop_seed72.wav
"classical Hammer,Tools",musicgen_outputs/180243_classical_seed72.wav
"jazz Hammer,Tools",musicgen_outputs/180243_jazz_seed72.wav
"pop Hammer,Tools",musicgen_outputs/180243_pop_seed72.wav
"classical Whoosh_and_swoosh_and_swish",musicgen_outputs/180837_classical_seed72.wav
"jazz Whoosh_and_swoosh_and_swish",musicgen_outputs/180837_jazz_seed72.wav
